date,borough,count
2013-09-01,UNSPECIFIED,22
2013-10-01,Bronx,25095
2013-10-01,Brooklyn,43700
2013-10-01,Manhattan,30766
2013-10-01,Queens,30327
2013-10-01,Staten Island,6666
2013-10-01,UNSPECIFIED,18
2013-11-01,Bronx,31769
2013-11-01,Brooklyn,45435
2013-11-01,Manhattan,31960
2013-11-01,Queens,28929
2013-11-01,Staten Island,5444
2013-11-01,UNSPECIFIED,16
2013-12-01,Bronx,32907
2013-12-01,Brooklyn,45214
2013-12-01,Manhattan,29577
2013-12-01,Queens,29746
2013-12-01,Staten Island,5384
2013-12-01,UNSPECIFIED,18
2014-01-01,Bronx,45793
2014-01-01,Brooklyn,63205
2014-01-01,Manhattan,38785
2014-01-01,Queens,38911
2014-01-01,Staten Island,9038
2014-01-01,UNSPECIFIED,11
2014-02-01,Bronx,35218
2014-02-01,Brooklyn,51439
2014-02-01,Manhattan,30755
2014-02-01,Queens,36025
2014-02-01,Staten Island,8944
2014-02-01,UNSPECIFIED,7
2014-03-01,Bronx,31655
2014-03-01,Brooklyn,49507
2014-03-01,Manhattan,32310
2014-03-01,Queens,37160
2014-03-01,Staten Island,8752
2014-03-01,UNSPECIFIED,22
2014-04-01,Bronx,27343
2014-04-01,Brooklyn,44624
2014-04-01,Manhattan,30988
2014-04-01,Queens,33283
2014-04-01,Staten Island,8601
2014-04-01,UNSPECIFIED,8
2014-05-01,Bronx,26856
2014-05-01,Brooklyn,52749
2014-05-01,Manhattan,33276
2014-05-01,Queens,38626
2014-05-01,Staten Island,9197
2014-05-01,UNSPECIFIED,16
2014-06-01,Bronx,26639
2014-06-01,Brooklyn,52611
2014-06-01,Manhattan,32694
2014-06-01,Queens,40585
2014-06-01,Staten Island,9190
2014-06-01,UNSPECIFIED,13
2014-07-01,Bronx,28624
2014-07-01,Brooklyn,51933
2014-07-01,Manhattan,32235
2014-07-01,Queens,40256
2014-07-01,Staten Island,9085
2014-07-01,UNSPECIFIED,17
2014-08-01,Bronx,25695
2014-08-01,Brooklyn,47832
2014-08-01,Manhattan,29893
2014-08-01,Queens,36621
2014-08-01,Staten Island,7986
2014-08-01,UNSPECIFIED,21
2014-09-01,Bronx,24263
2014-09-01,Brooklyn,46356
2014-09-01,Manhattan,30729
2014-09-01,Queens,34746
2014-09-01,Staten Island,7312
2014-09-01,UNSPECIFIED,12
2014-10-01,Bronx,28558
2014-10-01,Brooklyn,49972
2014-10-01,Manhattan,35165
2014-10-01,Queens,35465
2014-10-01,Staten Island,7785
2014-10-01,UNSPECIFIED,15
2014-11-01,Bronx,35823
2014-11-01,Brooklyn,52253
2014-11-01,Manhattan,36706
2014-11-01,Queens,34981
2014-11-01,Staten Island,6036
2014-11-01,UNSPECIFIED,10
2014-12-01,Bronx,33684
2014-12-01,Brooklyn,50906
2014-12-01,Manhattan,33405
2014-12-01,Queens,33882
2014-12-01,Staten Island,6515
2014-12-01,UNSPECIFIED,10
2015-01-01,Bronx,39327
2015-01-01,Brooklyn,56350
2015-01-01,Manhattan,36755
2015-01-01,Queens,35749
2015-01-01,Staten Island,6822
2015-01-01,UNSPECIFIED,6
2015-02-01,Bronx,40289
2015-02-01,Brooklyn,58395
2015-02-01,Manhattan,35967
2015-02-01,Queens,39687
2015-02-01,Staten Island,8543
2015-02-01,UNSPECIFIED,2
2015-03-01,Bronx,35354
2015-03-01,Brooklyn,58354
2015-03-01,Manhattan,35378
2015-03-01,Queens,45498
2015-03-01,Staten Island,10972
2015-03-01,UNSPECIFIED,4
2015-04-01,Bronx,29116
2015-04-01,Brooklyn,51285
2015-04-01,Manhattan,36239
2015-04-01,Queens,39945
2015-04-01,Staten Island,9163
2015-04-01,UNSPECIFIED,3
2015-05-01,Bronx,28423
2015-05-01,Brooklyn,54760
2015-05-01,Manhattan,36500
2015-05-01,Queens,41753
2015-05-01,Staten Island,9334
2015-05-01,UNSPECIFIED,5
2015-06-01,Bronx,29663
2015-06-01,Brooklyn,57388
2015-06-01,Manhattan,35740
2015-06-01,Queens,44463
2015-06-01,Staten Island,9802
2015-06-01,UNSPECIFIED,4
2015-07-01,Bronx,32141
