year,zip,borough,lat,lng,median_response_hours,count
2010,10314,UNSPECIFIED,40.6056,-74.15595,240.0,640
2010,10451,Bronx,40.82165,-73.92157,7.333333333333333,4330
2010,10451,UNSPECIFIED,40.823437,-73.92054,144.0,6191
2010,10452,Bronx,40.8378,-73.92149,6.583333333333333,7221
2010,10452,UNSPECIFIED,40.837036,-73.92136,144.0,15895
2010,10453,Bronx,40.85183,-73.912544,4.519166666666667,8077
2010,10453,UNSPECIFIED,40.852314,-73.9114,144.0,18743
2010,10454,Bronx,40.80763,-73.91892,8.3475,3195
2010,10454,UNSPECIFIED,40.808254,-73.91832,168.0,3550
2010,10455,Bronx,40.815445,-73.90809,6.45,3905
2010,10455,UNSPECIFIED,40.815308,-73.90628,144.0,5478
2010,10456,Bronx,40.831047,-73.90919,5.075555555555555,7358
2010,10456,UNSPECIFIED,40.83177,-73.91114,144.0,14445
2010,10457,Bronx,40.84786,-73.8996,7.939444444444445,7966
2010,10457,UNSPECIFIED,40.847687,-73.901024,144.0,17453
2010,10458,Bronx,40.86243,-73.88918,6.941388888888889,8496
2010,10458,UNSPECIFIED,40.862835,-73.89,144.0,18248
2010,10459,Bronx,40.82568,-73.89414,9.05,5645
2010,10459,UNSPECIFIED,40.8252,-73.89496,144.0,8479
2010,10460,Bronx,40.8396,-73.877205,5.493611111111111,6433
2010,10460,UNSPECIFIED,40.84057,-73.87985,144.0,12073
2010,10461,Bronx,40.845985,-73.84134,19.466666666666665,7172
2010,10461,UNSPECIFIED,40.845436,-73.84205,96.0,3410
2010,10462,Bronx,40.843918,-73.859825,10.047083333333333,8734
2010,10462,UNSPECIFIED,40.846436,-73.861725,120.0,7320
2010,10463,Bronx,40.880848,-73.90603,16.53611111111111,7172
2010,10463,Manhattan,40.87563,-73.91045,11.959305555555556,159
2010,10463,UNSPECIFIED,40.878796,-73.90427,144.0,7899
2010,10464,Bronx,40.848026,-73.787544,21.095277777777778,1121
2010,10464,UNSPECIFIED,40.84574,-73.785904,168.0,89
2010,10465,Bronx,40.827297,-73.82058,8.776944444444444,6276
2010,10465,UNSPECIFIED,40.8249,-73.81961,144.0,892
2010,10466,Bronx,40.891273,-73.848915,7.9030555555555555,9504
2010,10466,UNSPECIFIED,40.891247,-73.85466,144.0,6707
2010,10467,Bronx,40.873898,-73.87053,4.976944444444444,11979
2010,10467,UNSPECIFIED,40.87447,-73.871994,144.0,18461
2010,10468,Bronx,40.866447,-73.8997,4.941805555555556,7808
2010,10468,UNSPECIFIED,40.866375,-73.89964,144.0,17033
2010,10469,Bronx,40.869602,-73.84906,14.6,10542
2010,10469,UNSPECIFIED,40.873905,-73.85078,144.0,3961
2010,10470,Bronx,40.900806,-73.86005,18.0875,2170
2010,10470,UNSPECIFIED,40.902386,-73.85465,144.0,1921
2010,10471,Bronx,40.901592,-73.902855,20.75,2663
2010,10471,UNSPECIFIED,40.899857,-73.902176,120.0,593
2010,10472,Bronx,40.829628,-73.87066,5.246527777777778,7473
2010,10472,UNSPECIFIED,40.829235,-73.872475,168.0,10314
2010,10473,Bronx,40.818497,-73.85799,4.65,5502
2010,10473,UNSPECIFIED,40.819347,-73.85964,120.0,2004
2010,10474,Bronx,40.814556,-73.88737,5.916666666666667,2393
2010,10474,UNSPECIFIED,40.81597,-73.88783,168.0,2961
2010,10475,Bronx,40.876408,-73.82851,19.939999999999998,2094
2010,10475,UNSPECIFIED,40.87314,-73.82781,456.0,430
2010,10803,Bronx,40.88319,-73.80593,3.835,30
2010,11001,Queens,40.733494,-73.70806,36.016666666666666,583
2010,11001,UNSPECIFIED,40.733025,-73.711685,336.0,26
2010,11004,Queens,40.74406,-73.71136,28.61625,2099
2010,11004,UNSPECIFIED,40.741035,-73.71196,120.0,102
2010,11005,Queens,40.758366,-73.715416,34.687083333333334,38
2010,11040,Queens,40.749355,-73.704636,33.44277777777778,474
2010,11040,UNSPECIFIED,40.742798,-73.70104,132.0,4
2010,11042,UNSPECIFIED,40.67602,-73.93421,373.4638888888889,1
2010,11101,Bronx,40.75631,-73.93788,36.0,8
2010,11101,Manhattan,40.74148,-73.95402,506.9847222222222,6
2010,11101,Queens,40.74853,-73.937874,22.533333333333335,8566
2010,11101,UNSPECIFIED,40.74962,-73.937195,192.0,1003
2010,11102,Bronx,40.774017,-73.92876,48.0,5
2010,11102,Queens,40.770832,-73.924805,14.40625,3989
2010,11102,UNSPECIFIED,40.770798,-73.924675,216.0,1670
2010,11103,Bronx,40.764915,-73.90865,60.0,6
2010,11103,Queens,40.763096,-73.913925,21.716666666666665,5001
2010,11103,UNSPECIFIED,40.76356,-73.91411,192.0,1905
2010,11104,Queens,40.744324,-73.920746,11.866666666666667,3272
2010,11104,UNSPECIFIED,40.74434,-73.921585,240.0,2006
2010,11105,Bronx,40.779102,-73.9077,60.0,8
2010,11105,Queens,40.776093,-73.90931,21.675,4936
2010,11105,UNSPECIFIED,40.777905,-73.91113,192.0,1186
2010,11106,Bronx,40.760273,-73.935036,48.0,10
2010,11106,Queens,40.76142,-73.92994,8.154166666666667,5433
2010,11106,UNSPECIFIED,40.76149,-73.9278,240.0,1583
2010,11109,Queens,40.745186,-73.956985,96.15,101
2010,11109,UNSPECIFIED,40.74445,-73.95602,120.0,1
2010,11201,Brooklyn,40.6941,-73.98994,24.533333333333335,9206
2010,11201,UNSPECIFIED,40.691917,-73.9923,144.0,1266
2010,11203,Brooklyn,40.65021,-73.934555,9.450833333333334,9382
2010,11203,UNSPECIFIED,40.650414,-73.93769,168.0,11096
2010,11204,Brooklyn,40.618896,-73.98556,24.90833333333333,9714
2010,11204,UNSPECIFIED,40.615154,-73.98452,144.0,2591
2010,11205,Brooklyn,40.693184,-73.96313,15.2,5457
2010,11205,UNSPECIFIED,40.692677,-73.96268,168.0,2324
2010,11206,Brooklyn,40.701687,-73.94235,4.706944444444444,9555
2010,11206,UNSPECIFIED,40.699005,-73.942116,168.0,5010
2010,11207,Brooklyn,40.67241,-73.89499,8.2,13340
2010,11207,Queens,40.680862,-73.89657,5.820833333333333,4
2010,11207,UNSPECIFIED,40.673485,-73.89669,168.0,14672
2010,11208,Brooklyn,40.676044,-73.87317,8.088055555555556,12271
2010,11208,Queens,40.677677,-73.86224,2.9241666666666664,96
2010,11208,UNSPECIFIED,40.67639,-73.87434,168.0,10706
2010,11209,Brooklyn,40.62527,-74.02969,23.975,8753
2010,11209,UNSPECIFIED,40.6258,-74.02861,120.0,4110
2010,11210,Brooklyn,40.62868,-73.9467,21.641666666666666,8002
2010,11210,UNSPECIFIED,40.6343,-73.94654,144.0,7808
2010,11211,Brooklyn,40.712,-73.95478,14.19111111111111,13412
2010,11211,UNSPECIFIED,40.71121,-73.95696,168.0,4984
2010,11212,Brooklyn,40.662403,-73.91394,5.666666666666667,7865
2010,11212,UNSPECIFIED,40.6609,-73.91713,144.0,11387
2010,11213,Brooklyn,40.67135,-73.936424,7.338055555555556,7738
2010,11213,UNSPECIFIED,40.67029,-73.935265,168.0,13365
2010,11214,Brooklyn,40.60201,-73.99686,24.0,10387
2010,11214,UNSPECIFIED,40.60331,-73.9967,144.0,4836
2010,11215,Brooklyn,40.667812,-73.98422,23.35,11210
2010,11215,UNSPECIFIED,40.66739,-73.98414,144.0,2717
2010,11216,Brooklyn,40.68066,-73.94966,14.149444444444445,8336
2010,11216,UNSPECIFIED,40.679214,-73.94938,168.0,10357
2010,11217,Brooklyn,40.682327,-73.97897,14.659305555555555,7565
2010,11217,UNSPECIFIED,40.683018,-73.97827,144.0,1396
2010,11218,Brooklyn,40.642197,-73.9767,25.21666666666667,10005
2010,11218,UNSPECIFIED,40.64119,-73.97481,144.0,5755
2010,11219,Brooklyn,40.633053,-73.99648,27.008333333333333,9713
2010,11219,UNSPECIFIED,40.634388,-73.99535,144.0,4282
2010,11220,Brooklyn,40.64087,-74.01394,14.127916666666668,9989
2010,11220,UNSPECIFIED,40.642544,-74.01305,144.0,5410
2010,11221,Brooklyn,40.69143,-73.927734,10.946944444444444,10764
2010,11221,UNSPECIFIED,40.69113,-73.92656,144.0,14725
2010,11222,Brooklyn,40.727394,-73.949234,26.491666666666667,6287
2010,11222,UNSPECIFIED,40.72912,-73.95085,144.0,2628
2010,11223,Brooklyn,40.598763,-73.9729,24.616666666666667,9123
2010,11223,UNSPECIFIED,40.600048,-73.97234,144.0,2768
2010,11224,Brooklyn,40.57681,-73.98881,15.456111111111111,3529
2010,11224,UNSPECIFIED,40.57537,-73.99165,168.0,2067
2010,11225,Brooklyn,40.66276,-73.95413,6.626666666666667,6444
2010,11225,UNSPECIFIED,40.66365,-73.9543,144.0,13915
2010,11226,Brooklyn,40.647152,-73.957054,4.759722222222222,10808
2010,11226,UNSPECIFIED,40.647198,-73.95709,168.0,25986
2010,11228,Brooklyn,40.617794,-74.01159,24.6,5438
2010,11228,UNSPECIFIED,40.61997,-74.01035,144.0,522
2010,11229,Brooklyn,40.60173,-73.94767,20.3,11544
2010,11229,UNSPECIFIED,40.603336,-73.95255,144.0,4135
2010,11230,Brooklyn,40.622173,-73.96535,23.680555555555557,11248
2010,11230,UNSPECIFIED,40.62387,-73.96135,144.0,7696
2010,11231,Brooklyn,40.679512,-74.00144,24.58347222222222,5983
2010,11231,UNSPECIFIED,40.681038,-74.000694,192.0,1023
